t,X_p,X_emb,S,H,H_b,R,I_emb,I_p,I,A,M,J,C_W_1,D_G_1,D_M_1,D_A_1,D_R_1,D_h_1,y_G,y_M,y_A,y_R,h_z,h_S
1.016934102170169,0.00020154243958297012,1.571957572234443e-10,2.2706300005268595e-7,1.138136862081018e-7,5.690754190663753e-8,0.0,1.616964786134949e-6,0.0,1.616964786134949e-6,5.335983794227013e-7,4.444943456437989e-8,1.8362564501601824e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0169635113215174,0.00020154537829677538,4.773561761718105e-11,2.2707726075595764e-7,1.1382116883719194e-7,5.69112832211903e-8,0.0,1.6170742462745478e-6,0.0,1.6170742462745478e-6,5.336345012687372e-7,4.4453374551132675e-8,1.836425152868559e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.016970671344223,0.00020154609376310206,2.1085369448895555e-11,2.270807327919632e-7,1.13822990628475e-7,5.69121941168321e-8,0.0,1.6171008965227163e-6,0.0,1.6171008965227163e-6,5.336432958506327e-7,4.445433383402233e-8,1.836466227618504e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.01697126323995,0.00020154615290837006,1.8882278487656117e-11,2.270810198140628e-7,1.1382314123013793e-7,5.6912269417663585e-8,0.0,1.6171030996136776e-6,0.0,1.6171030996136776e-6,5.336440228706499e-7,4.4454413134910655e-8,1.8364696231386222e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0169714334207678,0.0002015461699137134,1.82488494979831e-11,2.2708110233816882e-7,1.1382318453087284e-7,5.691229106803105e-8,0.0,1.6171037330426674e-6,0.0,1.6171037330426674e-6,5.336442319022165e-7,4.445443593537079e-8,1.836470599412963e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0169716036015857,0.00020154618691905674,1.7615420354846064e-11,2.2708118486229182e-7,1.1382322783161757e-7,5.691231271840341e-8,0.0,1.6171043664718106e-6,0.0,1.6171043664718106e-6,5.336444409338337e-7,4.445445873583923e-8,1.836471575687675e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.016975365616293,0.00020154656283893015,3.6128067794605214e-12,2.2708300914359077e-7,1.1382418503969029e-7,5.691279132244058e-8,0.0,1.6171183690853887e-6,0.0,1.6171183690853887e-6,5.336490617963114e-7,4.445496276471965e-8,1.8364931572945143e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.016976427034009,0.00020154666889067778,2.2959049991735743e-12,2.2708308058255649e-7,1.1382425556946538e-7,5.6912826587328264e-8,0.0,1.6171196859871693e-6,1.05741146933442e-14,1.6171196965612839e-6,5.336494998633565e-7,4.445510497235253e-8,1.8364992463709027e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.016976832970995,0.0002015467094539911,7.849597577283728e-13,2.270832774306469e-7,1.1382435885651325e-7,5.6912878230852195e-8,0.0,1.6171211969324107e-6,1.05741146933442e-14,1.6171212075065252e-6,5.336499984752862e-7,4.445515935943824e-8,1.8365015751289677e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.016976973905492,0.0002015467235368915,2.6038486683762575e-13,2.2708334577300616e-7,1.1382439471604652e-7,5.691289616061883e-8,0.0,1.6171217215073017e-6,1.05741146933442e-14,1.6171217320814162e-6,5.336501715850002e-7,4.4455178241725714e-8,1.8365023836348715e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
